id,speed,pricelev,pricefle,mimage,service,simage,quality,firmsize,usage,satisfaction,specbuy,structre,indtype,buysit,CustomerValueGroup,Zspeed,Zpricelev,Zpricefle,Zmimage,Zservice,Zsimage,Zsatisfaction,Zquality
1,4.1,0.6,6.9,4.7,2.4,2.3,6.0,0,32.0,4.2,1,0,1,1,0.00,0.44294,-1.47534,-0.71691,-0.48435,-0.68685,-0.47350,-0.66740,0.90731
2,1.8,3.0,6.3,6.6,2.5,4.0,3.0,1,43.0,4.3,0,0,0,1,0.00,-1.29853,0.53192,-1.14966,1.19497,-0.55374,1.73184,-0.55052,-0.91949
3,3.4,5.2,5.7,6.0,4.3,2.7,3.0,1,48.0,5.2,0,1,1,2,0.00,-0.08707,2.37191,-1.58240,0.66466,1.84224,0.04540,0.50143,-0.91949
4,2.7,1.0,7.1,5.9,1.8,2.3,4.0,1,32.0,3.9,0,1,1,1,0.00,-0.61708,-1.14079,-0.57266,0.57627,-1.48551,-0.47350,-1.01805,-0.31056
5,6.0,0.9,9.6,7.8,3.4,4.6,7.0,0,58.0,6.8,1,0,1,3,1.00,1.88154,-1.22443,1.23043,2.25559,0.64425,2.51020,2.37155,1.51625
6,1.9,3.3,7.9,4.8,2.6,1.9,2.0,1,45.0,4.4,0,1,1,2,0.00,-1.22281,0.78283,0.00433,-0.39596,-0.42063,-0.99240,-0.43364,-1.52842
7,4.6,2.4,9.5,6.6,3.5,4.5,4.0,0,46.0,5.8,1,0,1,1,0.00,0.82152,0.03011,1.15831,1.19497,0.77736,2.38047,1.20272,-0.31056
8,1.3,4.2,6.2,5.1,2.8,2.2,5.0,1,44.0,4.3,0,1,0,2,0.00,-1.67711,1.53556,-1.22178,-0.13081,-0.15441,-0.60323,-0.55052,0.29838
9,5.5,1.6,9.4,4.7,3.5,3.0,4.0,0,63.0,5.4,1,0,1,3,1.00,1.50296,-0.63898,1.08619,-0.48435,0.77736,0.43458,0.73519,-0.31056
10,4.0,3.5,6.5,6.0,3.7,3.2,3.0,1,54.0,5.4,0,1,0,2,1.00,0.36722,0.95010,-1.00541,0.66466,1.04358,0.69403,0.73519,-0.91949
11,2.4,1.6,8.8,4.8,2.0,2.8,6.0,0,32.0,4.3,1,0,0,1,0.00,-0.84423,-0.63898,0.65344,-0.39596,-1.21929,0.17513,-0.55052,0.90731
12,3.9,2.2,9.1,4.6,3.0,2.5,3.0,0,47.0,5.0,1,0,1,2,0.00,0.29151,-0.13716,0.86981,-0.57273,0.11181,-0.21405,0.26766,-0.91949
13,2.8,1.4,8.1,3.8,2.1,1.4,5.0,1,39.0,4.4,0,0,0,1,0.00,-0.54137,-0.80625,0.14858,-1.27981,-1.08618,-1.64104,-0.43364,0.29838
14,3.7,1.5,8.6,5.7,2.7,3.7,5.0,0,38.0,5.0,1,0,1,1,0.00,0.14007,-0.72261,0.50920,0.39950,-0.28752,1.34267,0.26766,0.29838
15,4.7,1.3,9.9,6.7,3.0,2.6,5.0,0,54.0,5.9,1,0,0,3,1.00,0.89723,-0.88989,1.44681,1.28335,0.11181,-0.08432,1.31961,0.29838
16,3.4,2.0,9.7,4.7,2.7,1.7,7.0,0,49.0,4.7,1,0,0,3,0.00,-0.08707,-0.30443,1.30256,-0.48435,-0.28752,-1.25186,-0.08299,1.51625
17,3.2,4.1,5.7,5.1,3.6,2.9,5.0,0,38.0,4.4,1,1,1,2,0.00,-0.23851,1.45192,-1.58240,-0.13081,0.91047,0.30486,-0.43364,0.29838
18,4.9,1.8,7.7,4.3,3.4,1.5,6.0,0,40.0,5.6,1,0,0,2,0.00,1.04867,-0.47171,-0.13992,-0.83789,0.64425,-1.51131,0.96896,0.90731
19,5.3,1.4,9.7,6.1,3.3,3.9,5.0,0,54.0,5.9,1,0,1,3,1.00,1.35153,-0.80625,1.30256,0.75304,0.51114,1.60212,1.31961,0.29838
20,4.7,1.3,9.9,6.7,3.0,2.6,5.0,0,55.0,6.0,1,0,0,3,1.00,0.89723,-0.88989,1.44681,1.28335,0.11181,-0.08432,1.43649,0.29838
21,3.3,0.9,8.6,4.0,2.1,1.8,5.0,0,41.0,4.5,1,0,0,2,0.00,-0.16279,-1.22443,0.50920,-1.10304,-1.08618,-1.12213,-0.31675,0.29838
22,3.4,0.4,8.3,2.5,1.2,1.7,6.0,0,35.0,3.3,1,0,0,1,0.00,-0.08707,-1.64261,0.29282,-2.42882,-2.28417,-1.25186,-1.71935,0.90731
23,3.0,4.0,9.1,7.1,3.5,3.4,3.0,0,55.0,5.2,1,1,0,3,1.00,-0.38994,1.36828,0.86981,1.63689,0.77736,0.95349,0.50143,-0.91949
