empno,storeno,somakiosk,cage,cincome,custno,loyallev,loyaltycard,cid,visits,brandtrust,comp,sexy,sophis,exc,fit,ability,csr,ValueForPrice,empsim,TotalACTV,cussat,somarket,CoreBrandACTV,ALLpreACTV,cgender,MCcussat,cussatquad,SOMAinteffect,HighlyRecommend,MCFit,fitquad,storeambience,frequentvisitor,empsimHL,visitsafterkiosk,ActedOnADeal,TotalYearlyACTV,Zcincome,Zcage,SOMAEmp,TotalTwoYearSpend,HighValueCustomer,MCSomaSexy,SomaSexyquad,SatFit,MCGender,SatGender,ServiceQuality,MCAge,MCLoyaltyCard,MCIncome,SOMAEmpsim,Zexc,Zsophis,Zcsr,ZValueForPrice,Zcid,Zempsim
1429588534.00,200.00,1.00,35.00,273255.00,114819501122014,0,0,7,14.0,6.33,6.00,7.00,2.00,3.67,5.00,4.67,3.67,4.67,4.00,86.28,4.00,0.00,56.48,75.38,1.00,-0.12,0.01,10.00,0.00,0.98,0.00,3.67,1.00,0.00,7.00,7.00,80.83,1.57002,-0.93026,10.00,1238.14,0.00,2.89,4.392,-0.13,0.29,-0.04,4.00,-13.09,-0.51,117723.00,10.00,-0.21589,-1.03709,-0.25856,0.27749,1.33049,-0.07823
1429588534.00,200.00,1.00,36.00,34322.00,160805394854265,1,1,4,22.0,2.00,2.67,4.00,6.00,6.33,3.75,5.67,4.00,4.00,5.00,98.85,4.00,0.00,58.94,112.79,1.00,-0.12,0.01,10.00,0.00,-0.27,1.56,6.33,1.00,1.00,11.00,11.00,105.82,-1.61652,1.51918,11.00,1418.51,0.00,-0.11,0.818,0.03,0.29,-0.04,5.00,-12.09,0.49,-121210.00,11.00,1.12116,0.92301,-0.09657,-0.05512,-0.09836,0.42225
1429588534.00,200.00,1.00,32.00,263810.00,499666059155032,0,1,7,21.0,5.00,6.00,6.00,6.00,7.00,7.00,6.67,6.33,6.00,7.00,99.39,7.00,0.00,47.34,89.79,0.00,2.88,8.29,10.00,1.00,2.98,4.01,7.00,1.00,1.00,10.50,10.50,94.59,1.44406,-1.09000,11.00,1426.27,0.00,1.89,1.201,8.56,-0.71,-2.05,7.00,-16.09,0.49,108278.00,11.00,1.45542,0.92301,1.03740,0.94272,1.33049,1.42321
1429588534.00,200.00,1.00,36.00,162704.00,684794276395996,0,1,4,23.0,5.67,6.33,7.00,7.00,4.00,7.00,4.00,6.00,5.67,6.00,113.98,7.00,0.00,74.22,96.23,1.00,2.88,8.29,10.00,1.00,2.98,4.01,7.33,1.00,1.00,11.50,11.50,105.10,0.09565,1.51918,11.00,1635.60,1.00,2.89,4.392,8.56,0.29,0.83,6.00,-12.09,0.49,7172.00,11.00,-0.04876,1.41303,0.87540,0.77641,-0.09836,0.92273
1429588534.00,200.00,1.00,68.00,81928.00,883720722304612,0,0,6,15.0,7.00,5.33,4.00,7.00,6.33,7.00,#NULL!,7.00,7.00,6.00,146.28,7.00,0.00,96.17,47.48,1.00,2.88,8.29,10.00,1.00,2.98,4.01,6.33,1.00,1.00,7.50,7.50,96.88,-0.98162,0.82695,11.00,2099.08,1.00,-0.11,0.818,8.56,0.29,0.83,6.00,19.91,-0.51,-73604.00,11.00,1.12116,1.41303,1.36139,1.44164,0.85421,0.92273
1429588534.00,200.00,1.00,29.00,190958.00,903343181450457,0,0,5,16.0,6.33,7.00,6.00,7.00,7.00,5.00,2.67,7.00,6.00,7.00,99.49,7.00,0.00,47.33,91.20,1.00,2.88,8.29,10.00,1.00,0.98,0.00,7.00,1.00,1.00,8.00,8.00,95.34,0.47246,-1.24975,11.00,1427.63,0.00,1.89,1.201,2.82,0.29,0.83,7.00,-19.09,-0.51,35426.00,11.00,1.45542,1.41303,1.36139,0.94272,0.37792,1.42321
3410401811.00,200.00,1.00,54.00,67790.00,28085815244127,0,0,7,14.0,6.33,7.00,6.33,6.00,7.00,6.25,5.00,7.00,7.00,3.67,76.35,7.00,0.00,8.64,131.91,1.00,2.88,8.29,10.00,1.00,2.23,1.57,7.00,1.00,0.00,7.00,7.00,104.13,-1.17018,0.08147,10.00,1095.60,0.00,2.22,2.042,6.41,0.29,0.83,3.67,5.91,-0.51,-87742.00,10.00,1.45542,0.92301,1.36139,1.44164,1.33049,-0.24506
3410401811.00,200.00,1.00,36.00,80366.00,245102019017548,0,0,6,19.0,5.67,6.00,6.33,7.00,7.00,7.00,6.67,6.00,7.00,5.67,103.67,7.00,0.00,53.63,90.60,0.00,2.88,8.29,10.00,1.00,2.98,4.01,7.00,1.00,1.00,9.50,9.50,97.13,-1.00246,-0.87701,11.00,1487.64,1.00,2.22,2.042,8.56,-0.71,-2.05,5.67,-12.09,-0.51,-75166.00,11.00,1.45542,1.41303,0.87540,1.44164,0.85421,0.75590
3410401811.00,200.00,1.00,60.00,280295.00,319855716347859,0,0,7,17.0,6.33,5.33,5.00,4.33,7.00,7.00,4.00,7.00,5.00,5.00,78.02,7.00,0.00,47.76,72.42,1.00,2.88,8.29,10.00,1.00,2.98,4.01,7.00,1.00,1.00,8.50,8.50,75.22,1.66391,0.40096,11.00,1119.54,0.00,0.89,0.009,8.56,0.29,0.83,5.00,11.91,-0.51,124763.00,11.00,1.45542,0.10630,1.36139,0.44380,1.33049,0.42225
3410401811.00,200.00,1.00,30.00,53553.00,360817287237967,0,1,7,18.0,5.00,7.00,6.33,7.00,6.33,4.75,7.00,3.67,5.00,4.00,142.82,7.00,0.00,117.13,124.98,1.00,2.88,8.29,10.00,1.00,0.73,0.06,6.33,1.00,0.00,9.00,9.00,133.90,-1.36005,-1.19650,10.00,2049.46,1.00,2.22,2.042,2.10,0.29,0.83,4.00,-18.09,0.49,-101979.00,10.00,1.12116,1.41303,-0.25856,0.44380,1.33049,-0.07823
